time,load,rain,temp,year,month,day,day_of_week,day_type
2015-01-01,2803,0.4,10.7,2015,1,1,3,weekday
2015-01-02,3029,0.0,6.1,2015,1,2,4,weekday
2015-01-03,2980,0.4,4.6,2015,1,3,5,weekend
2015-01-04,2917,0.0,5.5,2015,1,4,6,weekend
2015-01-05,3328,0.1,9.5,2015,1,5,0,weekday
2015-01-06,3357,0.2,5.7,2015,1,6,1,weekday
2015-01-07,3461,0.4,9.2,2015,1,7,2,weekday
2015-01-08,3423,0.2,6.9,2015,1,8,3,weekday
2015-01-09,3396,0.3,10.8,2015,1,9,4,weekday
2015-01-10,3089,0.2,6.0,2015,1,10,5,weekend
2015-01-11,3025,0.1,6.4,2015,1,11,6,weekend
2015-01-12,3365,0.3,6.8,2015,1,12,0,weekday
2015-01-13,3469,0.2,1.8,2015,1,13,1,weekday
2015-01-14,3611,0.7,3.9,2015,1,14,2,weekday
2015-01-15,3555,0.3,4.8,2015,1,15,3,weekday
2015-01-16,3467,0.1,2.8,2015,1,16,4,weekday
2015-01-17,3204,0.1,2.2,2015,1,17,5,weekend
2015-01-18,3102,0.0,2.5,2015,1,18,6,weekend
2015-01-19,3559,0.1,0.5,2015,1,19,0,weekday
2015-01-20,3588,0.2,3.1,2015,1,20,1,weekday
2015-01-21,3539,0.1,3.2,2015,1,21,2,weekday
2015-01-22,3533,0.0,2.6,2015,1,22,3,weekday
2015-01-23,3469,0.1,6.9,2015,1,23,4,weekday
2015-01-24,3179,0.0,4.8,2015,1,24,5,weekend
2015-01-25,2984,0.1,8.6,2015,1,25,6,weekend
2015-01-26,3359,0.0,6.2,2015,1,26,0,weekday
2015-01-27,3428,0.0,6.9,2015,1,27,1,weekday
2015-01-28,3478,0.2,4.8,2015,1,28,2,weekday
2015-01-29,3562,0.3,3.0,2015,1,29,3,weekday
2015-01-30,3483,0.1,4.2,2015,1,30,4,weekday
2015-01-31,3242,0.1,3.1,2015,1,31,5,weekend
2015-02-01,3080,0.0,1.7,2015,2,1,6,weekend
2015-02-02,3491,0.0,1.0,2015,2,2,0,weekday
2015-02-03,3568,0.1,1.1,2015,2,3,1,weekday
2015-02-04,3571,0.0,1.1,2015,2,4,2,weekday
2015-02-05,3556,0.0,3.9,2015,2,5,3,weekday
2015-02-06,3482,0.0,4.6,2015,2,6,4,weekday
2015-02-07,3169,0.0,5.3,2015,2,7,5,weekend
2015-02-08,3071,0.0,2.4,2015,2,8,6,weekend
2015-02-09,3506,0.0,4.5,2015,2,9,0,weekday
2015-02-10,3551,0.0,3.3,2015,2,10,1,weekday
2015-02-11,3538,0.0,4.9,2015,2,11,2,weekday
2015-02-12,3477,0.0,5.9,2015,2,12,3,weekday
2015-02-13,3434,0.3,6.5,2015,2,13,4,weekday
2015-02-14,3072,0.0,5.9,2015,2,14,5,weekend
2015-02-15,2958,0.3,6.2,2015,2,15,6,weekend
2015-02-16,3336,0.1,4.4,2015,2,16,0,weekday
2015-02-17,3446,0.0,5.8,2015,2,17,1,weekday
2015-02-18,3416,0.1,9.6,2015,2,18,2,weekday
2015-02-19,3359,0.1,6.4,2015,2,19,3,weekday
2015-02-20,3370,0.1,3.5,2015,2,20,4,weekday
2015-02-21,3111,0.1,3.6,2015,2,21,5,weekend
2015-02-22,3011,0.5,5.9,2015,2,22,6,weekend
2015-02-23,3514,0.3,4.0,2015,2,23,0,weekday
2015-02-24,3518,0.2,5.6,2015,2,24,1,weekday
2015-02-25,3419,0.1,9.5,2015,2,25,2,weekday
2015-02-26,3382,0.2,5.9,2015,2,26,3,weekday
2015-02-27,3370,0.1,5.1,2015,2,27,4,weekday
2015-02-28,3072,0.1,8.1,2015,2,28,5,weekend
2015-03-01,2985,0.3,4.2,2015,3,1,6,weekend
2015-03-02,3395,0.3,2.3,2015,3,2,0,weekday
2015-03-03,3490,0.2,2.8,2015,3,3,1,weekday
2015-03-04,3451,0.0,5.6,2015,3,4,2,weekday
2015-03-05,3393,0.0,8.6,2015,3,5,3,weekday
2015-03-06,3314,0.0,9.2,2015,3,6,4,weekday
2015-03-07,3047,0.2,10.7,2015,3,7,5,weekend
2015-03-08,2850,0.1,7.0,2015,3,8,6,weekend
2015-03-09,3247,0.3,7.4,2015,3,9,0,weekday
2015-03-10,3275,0.0,6.0,2015,3,10,1,weekday
2015-03-11,3307,0.3,7.3,2015,3,11,2,weekday
2015-03-12,3353,0.5,7.2,2015,3,12,3,weekday
2015-03-13,3275,0.0,3.9,2015,3,13,4,weekday
2015-03-14,3050,0.0,3.9,2015,3,14,5,weekend
2015-03-15,2904,0.0,4.6,2015,3,15,6,weekend
2015-03-16,3241,0.0,5.4,2015,3,16,0,weekday
2015-03-17,2923,0.0,5.7,2015,3,17,1,weekday
2015-03-18,3268,0.0,4.8,2015,3,18,2,weekday
2015-03-19,3312,0.0,5.9,2015,3,19,3,weekday
2015-03-20,3258,0.0,8.0,2015,3,20,4,weekday
2015-03-21,2953,0.0,7.2,2015,3,21,5,weekend
2015-03-22,2795,0.0,6.2,2015,3,22,6,weekend
2015-03-23,3147,0.1,6.9,2015,3,23,0,weekday
2015-03-24,3263,0.1,4.8,2015,3,24,1,weekday
2015-03-25,3325,0.5,4.3,2015,3,25,2,weekday
2015-03-26,3261,0.1,7.4,2015,3,26,3,weekday
2015-03-27,3220,0.0,7.4,2015,3,27,4,weekday
2015-03-28,2962,0.3,10.1,2015,3,28,5,weekend
2015-03-29,2824,0.3,7.3,2015,3,29,6,weekend
2015-03-30,3268,0.3,7.7,2015,3,30,0,weekday
2015-03-31,3303,0.1,6.6,2015,3,31,1,weekday
2015-04-01,3293,0.1,7.2,2015,4,1,2,weekday
2015-04-02,3264,0.3,8.7,2015,4,2,3,weekday
2015-04-03,3088,0.1,8.8,2015,4,3,4,weekday
2015-04-04,2873,0.0,9.5,2015,4,4,5,weekend
2015-04-05,2632,0.0,9.3,2015,4,5,6,weekend
2015-04-06,2651,0.0,8.9,2015,4,6,0,weekday
2015-04-07,2992,0.0,9.5,2015,4,7,1,weekday
2015-04-08,3036,0.0,9.7,2015,4,8,2,weekday
2015-04-09,3009,0.0,9.4,2015,4,9,3,weekday
2015-04-10,3000,0.1,9.1,2015,4,10,4,weekday
2015-04-11,2771,0.2,6.2,2015,4,11,5,weekend
2015-04-12,2693,0.4,6.8,2015,4,12,6,weekend
2015-04-13,3076,0.0,9.3,2015,4,13,0,weekday
2015-04-14,3096,0.0,10.8,2015,4,14,1,weekday
2015-04-15,3110,0.1,8.7,2015,4,15,2,weekday
2015-04-16,3045,0.0,8.4,2015,4,16,3,weekday
2015-04-17,3001,0.0,8.8,2015,4,17,4,weekday
2015-04-18,2712,0.0,9.3,2015,4,18,5,weekend
2015-04-19,2627,0.0,8.4,2015,4,19,6,weekend
2015-04-20,2961,0.0,9.0,2015,4,20,0,weekday
2015-04-21,2988,0.0,9.8,2015,4,21,1,weekday
2015-04-22,2991,0.0,10.7,2015,4,22,2,weekday
2015-04-23,2980,0.0,10.8,2015,4,23,3,weekday
2015-04-24,2975,0.2,9.9,2015,4,24,4,weekday
2015-04-25,2755,0.2,8.1,2015,4,25,5,weekend
2015-04-26,2644,0.0,5.2,2015,4,26,6,weekend
2015-04-27,3059,0.1,4.4,2015,4,27,0,weekday
2015-04-28,3152,0.3,5.4,2015,4,28,1,weekday
2015-04-29,3122,0.1,6.6,2015,4,29,2,weekday
2015-04-30,3075,0.0,7.9,2015,4,30,3,weekday
2015-05-01,3051,0.1,7.5,2015,5,1,4,weekday
2015-05-02,2889,0.7,8.3,2015,5,2,5,weekend
2015-05-03,2668,0.6,11.1,2015,5,3,6,weekend
2015-05-04,2657,0.1,9.7,2015,5,4,0,weekday
2015-05-05,3026,0.6,8.3,2015,5,5,1,weekday
2015-05-06,3109,0.2,9.0,2015,5,6,2,weekday
